;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; A7-BCJ ;Boeing 787-8 Dreamliner; C22Y232 ; 2 Apr 2014 ;;; 8.1 Years ;;;
; A7-BCK ;Boeing 787-8 Dreamliner; C22Y232 ; 19 Dec 2012 ;lsd ;; 9.3 Years ;;;
; A7-BCL ;Boeing 787-8 Dreamliner; C22Y232 ; 6 Nov 2012 ;lsd ;; 9.4 Years ;;;
; A7-BCM ;Boeing 787-8 Dreamliner; C22Y232 ; 30 Apr 2014 ;;; 8 Years ;;;
; A7-BCN ;Boeing 787-8 Dreamliner; C22Y232 ; 21 Jul 2014 ;;; 7.7 Years ;;;
; A7-BCO ;Boeing 787-8 Dreamliner; C22Y232 ; 28 Aug 2014 ;;; 7.7 Years ;;;
; A7-BCP ;Boeing 787-8 Dreamliner; C22Y232 ; 27 Oct 2014 ;;; 7.5 Years ;;;
; A7-BCQ ;Boeing 787-8 Dreamliner; C22Y232 ; 27 Oct 2014 ;;; 7.4 Years ;;;
; A7-BCR ;Boeing 787-8 Dreamliner; C22Y232 ; 26 Nov 2014 ;;; 7.4 Years ;;;
; A7-BCS ;Boeing 787-8 Dreamliner; C22Y232 ; 26 Feb 2015 ;;; 7.1 Years ;;;
; A7-BCT ;Boeing 787-8 Dreamliner; C22Y232 ; 26 Feb 2015 ;;; 7.1 Years ;;;
; A7-BCU ;Boeing 787-8 Dreamliner; C22Y232 ; 7 Apr 2015 ;;; 7 Years ;;;
; A7-BCV ;Boeing 787-8 Dreamliner; C22Y232 ; 21 May 2015 ;;; 6.9 Years ;;;
; A7-BCW ;Boeing 787-8 Dreamliner; C22Y232 ; 1 Sep 2015 ;;; 6.6 Years ;;;
; A7-BCX ;Boeing 787-8 Dreamliner; C22Y232 ; 2 Nov 2015 ;;; 6.5 Years ;;;
; A7-BCY ;Boeing 787-8 Dreamliner; C22Y232 ; 2 Nov 2015 ;;; 6.4 Years ;;;
; A7-BCZ ;Boeing 787-8 Dreamliner; C22Y232 ; 1 Feb 2016 ; Parked ;; 6.2 Years ;;;
; A7-BDA ;Boeing 787-8 Dreamliner; C22Y232 ; 1 Mar 2016 ;;; 6.1 Years ;;;
